control_id,target_id,hct_area_id,county_id,rgs_id,name,hh2020_nonhct,hh2050_nonhct,hh2020_hct,hh2050_hct,hh2020_tot,hh2050_tot,pph2020_nonhct,pph2050_nonhct,pph2020_hct,pph2050_hct,pph2020_tot,pph2050_tot
1,1,1001,33,1,Bellevue,32391,36370,28562,64368,60953,100738,2.71004291315489,2.71888919439098,2.19287864995448,2.28060526969923,2.4677046248749,2.43884135083087
2,2,1002,33,1,Seattle,90308,104262,255319,380900,345627,485162,2.32530894272933,2.32305154322764,1.94698788574293,1.94002625360987,2.04583843276133,2.02233893008933
3,3,1003,33,2,Auburn,19390,27024,7666,13284,27056,40308,2.84522949974214,2.71192273534636,2.75997912861988,2.55924420355315,2.82107480780603,2.66160563659819
4,4,1004,33,2,Bothell,8876,12387,3130,6162,12006,18549,2.4701442091032,2.38685718898846,2.15399361022364,1.98506978253814,2.38772280526403,2.25338293169443
5,5,1005,33,2,Burien,11799,13262,8075,15659,19874,28921,2.63776591236545,2.61106922032876,2.52941176470588,2.30710773357175,2.59374056556305,2.4464921683206
6,6,1006,33,2,Federal Way,24400,25680,11741,23263,36141,48943,2.83495901639344,2.82449376947041,2.61919768333191,2.36538709538753,2.76486538834011,2.6062766892099
7,7,1007,33,2,Issaquah,16069,18239,375,1913,16444,20152,2.40089613541602,2.31070782389385,2.51466666666667,1.81390486147412,2.40349063488202,2.26354704247717
8,8,1008,33,2,Kent,32051,33142,15007,24822,47058,57964,2.90243674144333,2.88621688491944,2.80115945891917,2.45842397872855,2.87013897743211,2.70302256573045
9,9,1009,33,2,Kirkland,20452,26471,17585,26776,38037,53247,2.56874633287698,2.47689924823392,2.18902473699175,2.03895279354646,2.39319609853564,2.25667173737488
10,10,1010,33,2,Redmond,16867,18965,12826,31706,29693,50671,2.61101559257722,2.59667809122067,2.2449711523468,2.148930801741,2.45290135722224,2.31651240354443
11,11,1011,33,2,Renton,26565,28549,14879,32735,41444,61284,2.68737060041408,2.67403411678167,2.34363868539552,2.19587597372843,2.56396583341376,2.41862476339665
12,12,1012,33,2,SeaTac,5233,5849,5860,11400,11093,17249,2.97267341868909,2.94375106855873,2.53378839590444,2.40482456140351,2.74082754890471,2.58757029393008
13,13,1013,33,2,Tukwila,4426,5115,3742,10702,8168,15817,2.62539539087212,2.58690127077224,2.64671298770711,2.44533732012708,2.63516160626836,2.49111715243093
14,14,1014,33,3,Des Moines,9769,10228,2654,6786,12423,17014,2.53342204933975,2.51417676965194,2.78146194423512,2.36825817860301,2.58641229976656,2.45597743035148
15,15,1015,33,3,Federal Way PAA,7554,8508,771,874,8325,9382,3.00569234842468,2.8489656793606,2.84176394293126,2.68649885583524,2.99051051051051,2.83383073971435
16,16,1016,33,3,Kenmore,5710,6484,3560,6327,9270,12811,2.69754816112084,2.6787476866132,2.33286516853933,2.17148727675043,2.55749730312837,2.42822574350168
17,17,1017,33,3,Lake Forest Park,4263,4940,1069,1396,5332,6336,2.58550316678396,2.47226720647773,2.40318054256314,2.21919770773639,2.54894973743436,2.41650883838384
18,18,1018,33,3,Mercer Island,7423,8452,2504,3219,9927,11671,2.77690960528088,2.67617132039754,1.98522364217252,1.83193538365952,2.57721365971593,2.44332105218062
19,19,1019,33,3,Newcastle,3073,4229,2059,2554,5132,6783,2.7751383013342,2.59706786474344,2.16464303059738,2.07674236491778,2.53020265003897,2.40114993365767
20,20,1020,33,3,North Highline,3575,3724,4020,5366,7595,9090,2.72335664335664,2.69226638023631,2.69452736318408,2.48192322027581,2.7080974325214,2.56809680968097
22,22,,33,3,Renton PAA - East Renton,2640,2839,0,0,2640,2839,2.89356060606061,2.74004931313843,0,0,2.89356060606061,2.74004931313843
23,23,,33,3,Renton PAA - Fairwood,8759,9348,0,0,8759,9348,2.73033451307227,2.58600770218229,0,0,2.73033451307227,2.58600770218229
24,24,1024,33,3,Renton PAA - West Hill,5071,5476,1240,1563,6311,7039,2.7363439163873,2.63403944485026,2.71532258064516,2.4299424184261,2.73221359530978,2.58871998863475
25,25,1025,33,3,Shoreline,15383,17004,7756,22347,23139,39351,2.50588311772736,2.51211479651847,2.35752965446106,2.20208529109053,2.45615627295907,2.33605245101776
26,26,1026,33,3,Woodinville,4803,5730,665,1920,5468,7650,2.46012908598792,2.45689354275742,1.81954887218045,1.67916666666667,2.38222384784199,2.26169934640523
27,27,,33,4,Algona,1013,1230,0,0,1013,1230,3.23395853899309,2.9650406504065,0,0,3.23395853899309,2.9650406504065
28,28,,33,4,Beaux Arts,106,119,0,0,106,119,2.99056603773585,2.73949579831933,0,0,2.99056603773585,2.73949579831933
29,29,,33,4,Black Diamond,1729,5276,0,0,1729,5276,2.7165991902834,2.51440485216073,0,0,2.7165991902834,2.51440485216073
30,30,,33,4,Carnation,769,1749,0,0,769,1749,2.80624187256177,2.58147512864494,0,0,2.80624187256177,2.58147512864494
202,30,,33,5,Carnation UGA,71,104,0,0,71,104,2.74647887323944,2.65384615384615,0,0,2.74647887323944,2.65384615384615
31,31,,33,4,Clyde Hill,1029,1089,0,0,1029,1089,3.03790087463557,2.89439853076217,0,0,3.03790087463557,2.89439853076217
32,32,,33,4,Covington,7005,12086,0,0,7005,12086,2.96117059243398,2.72794969386067,0,0,2.96117059243398,2.72794969386067
203,32,,33,5,Covington PAA,0,0,0,0,0,0,0,0,0,0,0,0
33,33,,33,4,Duvall,2702,3645,0,0,2702,3645,2.97335307179867,2.72702331961591,0,0,2.97335307179867,2.72702331961591
204,33,,33,5,Duvall UGA,48,69,0,0,48,69,4.0625,3.89855072463768,0,0,4.0625,3.89855072463768
34,34,,33,4,Enumclaw,5077,6316,0,0,5077,6316,2.4530234390388,2.2474667511083,0,0,2.4530234390388,2.2474667511083
205,34,,33,5,Enumclaw UGA,291,335,0,0,291,335,2.73539518900344,2.58507462686567,0,0,2.73539518900344,2.58507462686567
35,35,,33,4,Hunts Point,173,183,0,0,173,183,2.64161849710983,2.51912568306011,0,0,2.64161849710983,2.51912568306011
36,36,,33,4,Maple Valley,9218,11034,0,0,9218,11034,3.03894554133218,2.78620627152438,0,0,3.03894554133218,2.78620627152438
37,37,,33,4,Medina,1015,1264,0,0,1015,1264,2.87192118226601,2.63528481012658,0,0,2.87192118226601,2.63528481012658
38,38,,33,4,Milton,661,802,0,0,661,802,2.29500756429652,2.1072319201995,0,0,2.29500756429652,2.1072319201995
39,39,,33,4,Normandy Park,2671,3006,0,0,2671,3006,2.49794084612505,2.28875582168995,0,0,2.49794084612505,2.28875582168995
40,40,,33,4,North Bend,2775,4692,0,0,2775,4692,2.66918918918919,2.41027280477408,0,0,2.66918918918919,2.41027280477408
207,40,,33,5,North Bend UGA,971,1058,0,0,971,1058,2.60247167868177,2.57277882797732,0,0,2.60247167868177,2.57277882797732
41,41,,33,4,Pacific,2381,2551,0,0,2381,2551,3.0092398152037,2.91650333202666,0,0,3.0092398152037,2.91650333202666
42,42,,33,4,Sammamish,21895,23748,0,0,21895,23748,3.0755423612697,2.97494525854809,0,0,3.0755423612697,2.97494525854809
43,43,,33,4,Skykomish,86,200,0,0,86,200,1.77906976744186,1.65,0,0,1.77906976744186,1.65
44,44,,33,4,Snoqualmie,4552,6380,0,0,4552,6380,3.10215289982425,2.83213166144201,0,0,3.10215289982425,2.83213166144201
208,44,,33,5,Snoqualmie UGA,273,332,0,0,273,332,2.74725274725275,2.82831325301205,0,0,2.74725274725275,2.82831325301205
45,45,,33,4,Yarrow Point,387,420,0,0,387,420,2.93023255813954,2.77142857142857,0,0,2.93023255813954,2.77142857142857
46,46,,33,5,Auburn PAA,64,157,0,0,64,157,2.8125,2.57324840764331,0,0,2.8125,2.57324840764331
48,48,,33,5,Bellevue PAA,3,26,0,0,3,26,18.6666666666667,3.53846153846154,0,0,18.6666666666667,3.53846153846154
49,49,,33,5,Black Diamond PAA,139,537,0,0,139,537,2.80575539568345,2.58100558659218,0,0,2.80575539568345,2.58100558659218
51,51,,33,5,Issaquah PAA,76,79,0,0,76,79,2.72368421052632,2.62025316455696,0,0,2.72368421052632,2.62025316455696
52,52,,33,5,Kent PAA,160,184,0,0,160,184,2.8875,2.6304347826087,0,0,2.8875,2.6304347826087
53,53,,33,5,King UGA,528,1203,0,0,528,1203,3.28977272727273,3.0166251039069,0,0,3.28977272727273,3.0166251039069
57,57,,33,5,Newcastle PAA,2,3,0,0,2,3,6.5,4.33333333333333,0,0,6.5,4.33333333333333
58,58,,33,5,Pacific PAA,287,463,0,0,287,463,2.81184668989547,2.57019438444924,0,0,2.81184668989547,2.57019438444924
60,60,,33,5,Redmond PAA,945,1055,0,0,945,1055,3.02433862433862,2.7478672985782,0,0,3.02433862433862,2.7478672985782
61,61,,33,5,Sammamish PAA,177,436,0,0,177,436,3.25988700564972,2.99311926605505,0,0,3.25988700564972,2.99311926605505
201,62,,33,5,King no growth UGA Bear Creek UPD,4254,4340,0,0,4254,4340,2.59214856605548,2.56635944700461,0,0,2.59214856605548,2.56635944700461
206,62,,33,5,King no growth UGA Milton PAA,299,305,0,0,299,305,3.4314381270903,3.39672131147541,0,0,3.4314381270903,3.39672131147541
209,62,,33,5,King no growth UGA Tukwila PAA,8,8,0,0,8,8,1.5,1.5,0,0,1.5,1.5
64,64,,33,6,King Rural,41306,47889,0,0,41306,47889,2.7611727109863,2.52945352795005,0,0,2.7611727109863,2.52945352795005
301,64,,33,7,King Rural Ag & Resource,4703,4703,0,0,4703,4703,2.77184775675101,2.77184775675101,0,0,2.77184775675101,2.77184775675101
65,65,1065,35,1,Bremerton,13680,21650,3092,7239,16772,28889,2.33786549707602,2.23824480369515,2.17011642949547,2.00745959386656,2.30694013832578,2.18041469071273
401,65,,35,1,NBK - Bremerton,37,37,0,0,37,37,4.86486486486487,4.86486486486487,0,0,4.86486486486487,4.86486486486487
67,67,,35,1,Bremerton UGA,4147,5910,0,0,4147,5910,2.43549553894382,2.29289340101523,0,0,2.43549553894382,2.29289340101523
68,68,1068,35,2,Silverdale,6841,10967,1194,2947,8035,13914,2.52755445110364,2.44870976566062,1.81993299832496,1.67390566677978,2.42240199128811,2.28460543337646
69,69,1069,35,3,Bainbridge Island,9498,12242,659,1015,10157,13257,2.45220046325542,2.31718673419376,1.99696509863429,1.81970443349754,2.42266417249188,2.27909783510598
70,70,1070,35,3,Kingston UGA,814,2396,291,811,1105,3207,2.24938574938575,2.12479131886477,2.07560137457045,1.96547472256474,2.20361990950226,2.08450265045214
71,71,1071,35,3,Port Orchard,5068,9805,772,1730,5840,11535,2.58997632202052,2.45109637939827,2.46632124352332,2.3121387283237,2.5736301369863,2.43025574338968
72,72,1072,35,3,Port Orchard UGA,5542,7601,270,365,5812,7966,2.5967159870083,2.44428364688857,2.44074074074074,2.3041095890411,2.58947006194081,2.43786090886267
73,73,1073,35,3,Poulsbo,4444,7103,447,609,4891,7712,2.40796579657966,2.26228354216528,2.03355704697987,1.94909688013136,2.37374769985688,2.23755186721992
74,74,1074,35,3,Poulsbo PUTA,177,662,12,41,189,703,2.77401129943503,2.63897280966767,3.08333333333333,2.75609756097561,2.79365079365079,2.64580369843528
75,75,,35,5,Central Kitsap UGA,9041,12038,0,0,9041,12038,2.72348191571729,2.56246884864595,0,0,2.72348191571729,2.56246884864595
76,76,,35,6,Kitsap Rural,38242,43358,0,0,38242,43358,2.61223262381675,2.44985931085382,0,0,2.61223262381675,2.44985931085382
302,76,,35,7,Kitsap Rural Ag & Resource,510,510,0,0,510,510,2.67647058823529,2.67647058823529,0,0,2.67647058823529,2.67647058823529
402,76,,35,6,NBK - Bangor,1025,1025,0,0,1025,1025,3.48975609756098,3.48975609756098,0,0,3.48975609756098,3.48975609756098
77,77,1077,53,1,Tacoma,61747,67986,25474,81624,87221,149610,2.53474662736651,2.53936104492101,2.16004553662558,2.07846956777418,2.42531041836255,2.28790856226188
78,78,,53,2,Auburn,3750,4125,0,0,3750,4125,2.67013333333333,2.50715151515152,0,0,2.67013333333333,2.50715151515152
79,79,1079,53,2,Lakewood,19375,20775,6131,18734,25506,39509,2.47117419354839,2.46512635379061,2.38231936062633,2.13515533255044,2.44981572963224,2.30866384874332
80,80,1080,53,2,Puyallup,12535,13622,4503,14290,17038,27912,2.60526525727962,2.59330494787843,2.08705307572729,2.07382785164451,2.46830613921822,2.32735024362281
81,81,1081,53,2,University Place,9111,11749,4833,10447,13944,22196,2.56195807265942,2.51910800919227,2.32857438444031,2.13496697616541,2.48106712564544,2.33830419895477
82,82,1082,53,3,DuPont,3271,4601,381,1744,3652,6345,2.82054417609294,2.79091501847425,2.42782152230971,2.17316513761468,2.77957283680175,2.62111899133176
83,83,1083,53,3,Fife,3312,5172,827,1404,4139,6576,2.71074879227053,2.56187161639598,2.51874244256348,2.35826210826211,2.67238463396956,2.518400243309
84,84,1084,53,3,Fircrest,1986,2257,846,1756,2832,4013,2.57905337361531,2.55604785112982,2.38534278959811,2.13838268792711,2.52118644067797,2.37328681784201
85,85,1085,53,3,"Mid-County, Parkland-Spanaway-Midland, South Hill",45219,49790,11191,28288,56410,78078,2.92089608350472,2.90104438642298,2.56429273523367,2.29888998868778,2.8501506825031,2.68288122134276
86,86,1086,53,3,Sumner,3448,6265,869,972,4317,7237,2.42343387470998,2.27422186751796,2.48791714614499,2.44547325102881,2.43641417651147,2.29722260605223
87,87,,53,4,Bonney Lake,7364,9383,0,0,7364,9383,2.95002715915263,2.77576468080571,0,0,2.95002715915263,2.77576468080571
88,88,,53,4,Buckley,1851,3510,0,0,1851,3510,2.63047001620746,2.48319088319088,0,0,2.63047001620746,2.48319088319088
89,89,,53,4,Carbonado,235,277,0,0,235,277,3.12340425531915,2.93862815884477,0,0,3.12340425531915,2.93862815884477
90,90,,53,4,Eatonville,1054,1510,0,0,1054,1510,2.69924098671727,2.54172185430464,0,0,2.69924098671727,2.54172185430464
91,91,,53,4,Edgewood,4668,7939,0,0,4668,7939,2.62553556126821,2.47562665323089,0,0,2.62553556126821,2.47562665323089
92,92,,53,4,Gig Harbor,5171,6752,0,0,5171,6752,2.25604331850706,2.12322274881517,0,0,2.25604331850706,2.12322274881517
93,93,,53,4,Milton,2864,3371,0,0,2864,3371,2.45565642458101,2.3073272026105,0,0,2.45565642458101,2.3073272026105
94,94,,53,4,Orting,2916,3333,0,0,2916,3333,3.05555555555556,2.87038703870387,0,0,3.05555555555556,2.87038703870387
95,95,,53,4,Pacific,19,20,0,0,19,20,2.15789473684211,2.05,0,0,2.15789473684211,2.05
96,96,,53,4,Roy,292,430,0,0,292,430,2.79452054794521,2.63255813953488,0,0,2.79452054794521,2.63255813953488
97,97,,53,4,Ruston,483,787,0,0,483,787,2.18426501035197,2.05972045743329,0,0,2.18426501035197,2.05972045743329
98,98,,53,4,South Prairie,145,174,0,0,145,174,2.57241379310345,2.42528735632184,0,0,2.57241379310345,2.42528735632184
99,99,,53,4,Steilacoom,2773,3205,0,0,2773,3205,2.42084385142445,2.27457098283931,0,0,2.42084385142445,2.27457098283931
100,100,,53,4,Wilkeson,173,271,0,0,173,271,2.8150289017341,2.64944649446494,0,0,2.8150289017341,2.64944649446494
107,107,,53,5,Pierce UGA,24745,39665,0,0,24745,39665,2.98274398868458,2.81737047775117,0,0,2.98274398868458,2.81737047775117
403,107,,53,5,JBLM,4512,4512,0,0,4512,4512,3.50576241134752,3.50576241134752,0,0,3.50576241134752,3.50576241134752
124,124,,53,6,Pierce Rural,59103,66918,0,0,59103,66918,2.72461634773193,2.55411100152425,0,0,2.72461634773193,2.55411100152425
303,124,,53,7,Pierce Rural Ag & Resource,2664,2664,0,0,2664,2664,2.74924924924925,2.74924924924925,0,0,2.74924924924925,2.74924924924925
125,125,1125,61,1,Everett,32061,36070,12780,48865,44841,84935,2.46598671282867,2.4708899362351,2.26901408450704,2.1299703264095,2.40984813005954,2.27475128039089
404,125,,61,1,Naval Station Everett,38,38,0,0,38,38,3.23684210526316,3.23684210526316,0,0,3.23684210526316,3.23684210526316
126,126,1126,61,2,Bothell,6606,7392,537,6697,7143,14089,2.68240993036633,2.69237012987013,2.42830540037244,2.31745557712409,2.66330673386532,2.51415998296543
127,127,1127,61,2,Lynnwood,9603,10871,5798,18914,15401,29785,2.61501614078934,2.61033943519455,2.21283201103829,2.1616791794438,2.46360625933381,2.3254322645627
128,128,1128,61,3,Arlington,7106,14400,259,682,7365,15082,2.68744722769491,2.53972222222222,2.6023166023166,2.42521994134897,2.68445349626612,2.53454449012067
129,129,1129,61,3,Bothell MUGA,11002,15020,815,2534,11817,17554,2.92674059261952,2.82829560585886,2.36319018404908,2.07774269928966,2.88787340272489,2.71994986897573
130,130,1130,61,3,Edmonds,14494,15964,3998,11213,18492,27177,2.37946736580654,2.37146078677023,1.98249124562281,1.85953803620797,2.29364049318624,2.16024579607757
131,131,1131,61,3,Edmonds MUGA,1393,1883,172,252,1565,2135,2.54558506819813,2.39989378651089,2.43604651162791,2.26587301587302,2.53354632587859,2.38407494145199
132,132,1132,61,3,Everett MUGA,10574,11498,6566,14886,17140,26384,2.89445810478532,2.87554357279527,2.56396588486141,2.40111514174392,2.76785297549592,2.607868405094
133,133,1133,61,3,Larch Way Overlap,1128,1285,606,3107,1734,4392,3.00709219858156,3.01167315175097,2.58745874587459,2.57708400386225,2.86043829296424,2.7042349726776
135,135,1135,61,3,Lynnwood MUGA,11246,12990,2628,11949,13874,24939,2.536368486573,2.49568899153195,2.65563165905632,2.32488074315842,2.55895920426697,2.41384979349613
136,136,1136,61,3,Marysville,23388,35289,1501,4752,24889,40041,2.84633145202668,2.72113123069512,2.47968021319121,2.22180134680135,2.82421953473422,2.66187158162883
210,136,,61,8,Tulalip Tribe,3950,4683,0,0,3950,4683,2.76506329113924,2.6781977364937,0,0,2.76506329113924,2.6781977364937
138,138,1138,61,3,Mill Creek,6351,8128,2352,3272,8703,11400,2.50779404818139,2.37758366141732,2.09566326530612,1.94804400977995,2.39641502930024,2.25429824561404
139,139,1139,61,3,Mill Creek MUGA,15517,20083,1960,4452,17477,24535,2.98833537410582,2.86027983866952,2.83316326530612,2.5096585804133,2.97093322652629,2.79665783574485
140,140,1140,61,3,Mountlake Terrace,7371,9839,1393,6827,8764,16666,2.41839641839642,2.38530338449029,2.31442928930366,2.09594258092867,2.40187129164765,2.26677067082683
141,141,1141,61,3,Mukilteo,7976,9564,413,949,8389,10513,2.55127883650953,2.42618151401087,2.55932203389831,2.12961011591149,2.55167481225414,2.39941025397127
142,142,1142,61,3,Mukilteo MUGA,4606,5886,709,3456,5315,9342,2.90990013026487,2.82840638803942,2.98730606488011,2.62760416666667,2.92022577610536,2.75412117319632
143,143,,61,4,Brier,2377,2790,0,0,2377,2790,2.75515355490114,2.58853046594982,0,0,2.75515355490114,2.58853046594982
144,144,,61,4,Darrington,607,815,0,0,607,815,2.4003294892916,2.25889570552147,0,0,2.4003294892916,2.25889570552147
145,145,,61,4,Gold Bar,865,1039,0,0,865,1039,2.77803468208093,2.6102021174206,0,0,2.77803468208093,2.6102021174206
146,146,,61,4,Granite Falls,1530,2588,0,0,1530,2588,2.86993464052288,2.70633693972179,0,0,2.86993464052288,2.70633693972179
147,147,,61,4,Index,72,88,0,0,72,88,2.15277777777778,2.02272727272727,0,0,2.15277777777778,2.02272727272727
148,148,,61,4,Lake Stevens,13195,18347,0,0,13195,18347,2.9443728685108,2.7714067694991,0,0,2.9443728685108,2.7714067694991
149,149,,61,4,Monroe,5970,8246,0,0,5970,8246,2.86850921273032,2.7059180208586,0,0,2.86850921273032,2.7059180208586
150,150,,61,4,Snohomish,4175,5952,0,0,4175,5952,2.36934131736527,2.23135080645161,0,0,2.36934131736527,2.23135080645161
151,151,,61,4,Stanwood,2789,4551,0,0,2789,4551,2.67586948727142,2.52296198637662,0,0,2.67586948727142,2.52296198637662
152,152,,61,4,Sultan,1815,3565,0,0,1815,3565,2.84462809917355,2.68443197755961,0,0,2.84462809917355,2.68443197755961
153,153,,61,4,Woodway,457,561,0,0,457,561,2.88402625820569,2.70944741532977,0,0,2.88402625820569,2.70944741532977
155,155,,61,5,Arlington UGA,169,305,0,0,169,305,3.23668639053254,3.05245901639344,0,0,3.23668639053254,3.05245901639344
156,156,,61,5,Brier MUGA,629,737,0,0,629,737,2.86804451510334,2.69470827679783,0,0,2.86804451510334,2.69470827679783
157,157,,61,5,Darrington UGA,35,87,0,0,35,87,2.91428571428571,2.77011494252874,0,0,2.91428571428571,2.77011494252874
158,158,,61,5,Gold Bar UGA,324,365,0,0,324,365,2.49382716049383,2.34520547945206,0,0,2.49382716049383,2.34520547945206
159,159,,61,5,Granite Falls UGA,56,153,0,0,56,153,2.625,2.49019607843137,0,0,2.625,2.49019607843137
161,161,,61,5,Lake Stevens UGA,633,801,0,0,633,801,3.27330173775671,3.07865168539326,0,0,3.27330173775671,3.07865168539326
162,162,,61,5,Lake Stickney Gap,3852,5849,0,0,3852,5849,2.86292834890966,2.69704222944093,0,0,2.86292834890966,2.69704222944093
163,163,,61,5,Maltby UGA,58,260,0,0,58,260,2.82758620689655,2.67692307692308,0,0,2.82758620689655,2.67692307692308
164,164,,61,5,Marysville UGA,55,59,0,0,55,59,3.58181818181818,3.35593220338983,0,0,3.58181818181818,3.35593220338983
166,166,,61,5,Monroe UGA,536,754,0,0,536,754,2.92350746268657,2.75331564986737,0,0,2.92350746268657,2.75331564986737
167,167,,61,5,Mountlake Terrace MUGA,9,13,0,0,9,13,2.55555555555556,2.46153846153846,0,0,2.55555555555556,2.46153846153846
168,168,,61,5,Paine Field Area,1,26,0,0,1,26,50,1.92307692307692,0,0,50,1.92307692307692
169,169,,61,5,Silver Firs Gap,5218,7377,0,0,5218,7377,3.03564584131851,2.85766571777145,0,0,3.03564584131851,2.85766571777145
170,170,,61,5,Snohomish UGA,498,720,0,0,498,720,2.80722891566265,2.64444444444444,0,0,2.80722891566265,2.64444444444444
172,172,,61,5,Stanwood UGA,52,205,0,0,52,205,2.53846153846154,2.4,0,0,2.53846153846154,2.4
174,174,,61,5,Sultan UGA,16,100,0,0,16,100,2.375,2.24,0,0,2.375,2.24
175,175,,61,5,Woodway MUGA,0,142,0,0,0,142,0,2.38732394366197,0,0,0,2.38732394366197
176,176,,61,6,Snohomish Rural,37167,44869,0,0,37167,44869,2.8035353943014,2.59974592703203,0,0,2.8035353943014,2.59974592703203
304,176,,61,7,Snohomish Rural Ag & Resource,6771,6771,0,0,6771,6771,2.75793826613499,2.75793826613499,0,0,2.75793826613499,2.75793826613499
